"id","query","product_title","product_description","median_relevance","relevance_variance"
437,"rechargable batteries","Pyle Retro Belt-Drive Turntable With USB-to-PC Connection, Rechargeable Battery (Grey Color)","Pyle audio® PVTT2U Retro Belt-Drive Turntable W/USB-to-PC Connection, Rechargeable Battery, Gray",3,1.166
438,"cat grass","Cat Heaven (Hardcover)","As a child in West Virginia, Cynthia Rylant never dreamed of becoming a writer. In her free time, she devoured Archie comic books and paperback romances and enjoyed the outdoors. But after taking one college English class, she was, hooked on great writing I didnt know about this part of me until I went to college-didnt know I loved beautiful stories. And one night, inspired by the Southern writer James Agee, she sat down and wrote When I Was Young in the Mountains. Named a Caldecott Honor Book and an ALA Notable Book, it was an instant success.

Since that night, Rylant hasnt stopped creating wonderful books. Her stories explore friendship, love, grief, and other mysteries, and often draw on her memories of growing up in Appalachia. I get a lot of personal gratification thinking of those people who dont get any attention in the world and making them really valuable in my fiction-making them absolutely shine with their beauty.",1,0.943
440,"macbook case 13 case","13.3-inch Champagne Gold Retina Macbook Body Guard Case","Perfect for protecting your 13.3-inch Macbook, this Champagne Gold body guard case is sleek and fashionable. Created with 3M comply technology, this Body Guard case also protects against external host erosion.",3,0.471
442,"playstation 4","Sony PlayStation 4 - game console - 500 GB HDD - jet black","Sony 3000639 PlayStation 4 500 GB Bundle with Grand Theft Auto V and The Last of Us Remastered - Jet Black (Factory Refurbished)

Factory Refurbished
Sony brings you great high quality products and the innovation you expect from Sony.

Be sure to read the specifications for all the great features.
Factory Refurbished products have been returned to a service center and restored to meet manufacturer quality standards. They may show limited signs of use and carry the manufacturer warranty. Manuals and software might not be included, but can usually be downloaded from the manufacturer. These items can be in the original manufacturer box or repackaged for protection during shipping.
Model number 3000639
Product Name Sony 3000639 Gaming Console
Product Type Gaming Console
Internal Memory 500 GB Hard Drive
Media Type Blu ray
CPU AMD 8 core 
Video Memory GDDR5 SDRAM
Network 802.11 b/g/n, Bluetooth 2.1 EDR, Gigabit Ethernet
Game Controller Type DualShock 4 wireless
Controls Dual analog sticks, Triangle key, Circle key, Cross key, Square key, directional buttons, touch pad
Connector Type 2 x USB 3.0 9 pin USB Type A , 1 x HDMI output 19 pin HDMI Type A , 1 x composite video/audio output, 1 x SPDIF output TOSLINK , 1 x Ethernet RJ 45 
Power Consumption Operational 250 Watts
TV Connection HDMI, composite video
Dimensions 10.8 x 2.1 x 12.0 inches
Weight 6.2 lbs",4,0
444,"electric blanket","Sunbeam Slumber Rest Fleece Electric Blanket - Queen (Blue)","",4,0
449,"dr who lanyard","Sperry Top-Sider Men's Lanyard Boat Shoes (Linen) - 14.0 M","The Lanyard boat shoe is part of the Sperry Top-Sider “Get Wet” nautical collection. It’s just the thing for boating enthusiasts who aren’t afraid of getting their feet wet, but who appreciate a quick dry.",1,0.471
451,"infinity scarf","Splendid Infinity Scarf - Bowery Street Thermal","",4,0
459,"notebook paper","Blueline - MiracleBind Notebook Ruled Paper Refill, 8 x 5, White, 50 Sheets/Pack","Pages can be removed, reinserted, and refilled. Micro-perforated sheets with margin. Size: 8 x 5; Page Color/Theme: White; Appointment Ruling: None. Includes 50 refill sheets.",4,0
460,"waffle maker","West Bend Rotary Waffle Maker","Delicious waffles are only a turn away. Add this West Bend Rotary Waffle Maker to your kitchen and get your cook on. Make delicious waffles easily with 180-degree rotating function, temperature ready light, folding cool touch handle, non-skid feet, nonstick coating, removable drip tray, and temperature control. Use all these great features along with included recipes to find your favorite waffle flavors.",4,0
461,"coffee for nespresso","Nespresso Pixie Clip Espresso Maker Bundle with Milk Frother","Nespresso Pixie Clip Espresso Maker Bundle with Milk Frother Home - Kitchen Kitchen Categories - Coffee, Tea & Espresso",2,0.471
468,"assassinss creed","Assassin's Creed IV: Black Flag PRE-OWNED (PlayStation 3)","It is 1715. Pirates rule the Caribbean and have established a lawless pirate republic. Among these outlaws is a fearsome young captain named Edward Kenway. His exploits earn the respect of pirate legends like Blackbeard, but draw him into an ancient war that may destroy everything the pirates have built.",3,0.471
472,"16 gb memory card","Sandisk 16GB non-HS MSD Flash Drive 3in1 - Black (SDSDQR-016G-T46A)","SanDisk Elevate 16GB non-HS MSD 3in, microSD memory card with USB adapter and SD adapter. Includes RescuePro recovery software.
Memory Storage Capacity: 16GB
Wired Connectivity: Micro SD Slot
Features: Plug and Play
Includes: MicroSD Adapter, Adapter, USB Adapter
Battery no battery used",4,0
473,"boyfriend jeans","Low-Rise Destructed Boyfriend Jeans - Vanilla Star","details
Borrow from the boys with the Vanilla Star Low-Rise Destructed Boyfriend Jeans. These comfy jeans are low rise and loose fitting. They feature significant distressing on the front and back, and have a rolled cuff for an ankle length fit. Pair these jeans with a top with feminine, romantic details to provide a contrast.",3,0.471
476,"eye cream","Clinique All About Eyes Women's 1-ounce Eye Cream","Clinque All About Eyes is a lightweight cream-gel designed to help reduce fine lines, improve puffiness and dark circles around eyes.",4,0.433
487,"sweater dress","Maternity Long Sleeve Color block Dress-Liz Lange for Target","",3,1.03
495,"dress shirts","Men's Tailored Fit Button Collar Dress Shirt - Merona","",4,0.49
499,"ecco shoes","Lynk Vela Over Door Shoe Shelves","This stylish and sleek design holds 18 pairs of shoes or 18 shoe boxes. It adjusts to fit the thickness of any door and can even be permanently mounted to a door or wall. These elegant Shoe Shelves are made of beautiful and durable non-woven polymer fabric with steel and polymer construction. The Heirloom white sides and taupe shelves fit any decor.",2,0.748
502,"longboard pads","Razor Youth Sweet Pea Pad Set, Pink","The Razor Youth Sweet Pea Pad Set will help protect kids from scrapes and other injuries while they're riding scooters or bikes or skating. They feature foam cushioning to absorb shocks from crashes or falls. This pad set for kids also has hard-molded plastic caps to protect elbows and knees. Its Flex Velcro loop-fastened straps will help to keep pads securely in place without restricting freedom of movement. The Razor Youth Sweet Pea Pad Set is appropriate for children ages 8 to 14. Each piece is decorated with cute flowers.",1,1.265
503,"glass marbles","Bow 17.5 in. Bath Bar w White Marble Glass","Bulbs not included. Requires two medium base 100 Watt incandescent bulbs. Medium lamp. 7 in. Glass shade. UL and CUL certified. Warranty: One year. Assembly required. Backplate: 6.25 in. W x 4.25 in. H. Overall: 17.5 in. W x 10 in. H (5 lbs.)",2,1.247
504,"dresses for women","Women's Maxi Dress Merona","",4,0
507,"screen protector samsung","Urban Armor Gear Case for Samsung Galaxy Note 4 with Screen Protector","Keep your device safe with the Urban Armor Gear Samsung Galaxy Note 4 Protective Case. This sturdy sleeve features a lightweight, impact-resistant design. The Note 4 case with screen protector offers access to all ports. The feather-light design has reinforced corners and skid pads for enhanced protection. It's available in your choice of colors.",3,1.02
512,"wreck it ralph","Girl's Wreck-It Ralph Time Teacher Watch","",4,0
513,"white dress","Womens Striped Necklace Maxi Dress by White House Black Market","Brilliant silvertone beads draw the eye upward on this long, lean halter dress in timeless tones. An easy fitting blouson bodice, elastic waist and knee-high side slits make it a summer must-love.",2,0.471
518,"wall clocks","Mercury Black 10-inch Black/ Polished Aluminum Wall Clock","Add a sleek, clean look to your home decor with this decorative wall clock. This clock features a shiny aluminum frame and dial with Arabic numbers. 

This 10-inch decorative wall clock also features large numbers so that you can read the time from across the room. The brushed metal and glass case is easy to maintain. The style is simple and streamlined, letting the clock fit well in almost any room: from your retro 50's diner-style kitchen to a modern billiard room or in your family room.",4,0
522,"aqua shoes","Women's Skechers EZ Flex 2 A Game Navy/Aqua","Step up your style and comfort with the SKECHERS EZ Flex 2 - A Game shoe. Soft suede and mesh fabric upper in a sporty casual comfort mary jane sneaker with stitching and overlay accents. Memory Foam insole. Side S logo. Skechers heel logo. Suede mary jane strap with hook and loop side closure. Soft fabric shoe lining. Memory Foam cushioned comfort insole. Shock absorbing flexible lightweight midsole. Flexible traction outsole. 1/2 inch built in heel.",2,0.943
524,"tablet accessories","Accessory Bundle for Nook HD+ 9 in. Tablet","The slim double fold folio case offers secure protection for your tablet while adding a range of versatile options. A soft inner liner and protective corners help safeguard the tablet against scratches and damage. The folio case offers an ideal way to protect your tablet wherever you go. Includes screen protector.",4,0.8
530,"gold dress","DKNY 'Soho' Round Bangle Watch, 24mm Gold One Size","A number less sunray dial furthers the modernist appeal of a polished bangle-bracelet watch that's embellished with 22 square crystals encircling the band. Color(s): gold. Brand: DKNY. Style Name: DKNY 'Soho' Round Bangle Watch, 24mm. Style Number: 850345.",1,0
535,"table runner","Design Imports Turkey Table Runner","his stylish table runner is the perfect way to add a cheerful turkey design to your decor. These table runners are crafted from high-quality cotton for long-lasting elegance that you'll enjoy in your kitchen for years to come.

    Materials: Cotton
    Quantity: One (1)
    Dimensions: 14 inches wide x 64 inches long


The digital images we display have the most accurate color possible. However, due to differences in computer monitors, we cannot be responsible for variations in color between the actual product and your screen.",4,0
539,"bird seed feeder","Squirrel Proof Garden Hanging Wild Bird Feeder Sunflower Seed Birdfeeder Patio","",4,0
540,"sleeping bags","Ozark Trail 30F Climatech Mummy Sleeping Bag","Get a better night's sleep with the Ozark Trail 30F Left Mummy Sleeping Bag. The durable sleeping bag is lightweight and water-resistant. It is made with a heavy-duty two-way anti-snag zipper and a full-surround neck baffle. The Climatech fiber in this red Ozark Trail Sleeping Bag adds comfort and durability. This bag is rated to withstand temperatures as low as 30 degrees. The red Ozark sleeping bag comes complete with an inside pocket.",4,0
541,"candle lantern","9.5 Black Metal Flourish Lantern with Bisque LED Lighted Flameless Indoor/Outdoor Pillar Candle""","Black lantern features an elegant flourish pattern and has a handle on the top 
Beige bisque flameless pillar candle has the look of a real wax candle, with the safety of battery operation 
Amber colored flame has a slight flicker 
Candle has two operation options; on/off and timer function 
Timer function will keep the candle on for 5 hours and then automatically go off. Candle will automatically come on at the same time the next day. 
On/off and timer switch on bottom 
Candle uses (3) ""AAA"" size batteries (included) 
LED light is cool to the touch 
Candle can be used indoors or out
Dimensions: 9.5"" high x 4"" diameter 
Material(s): metal/resin/plastic",3,0.639
544,"aroma diffuser","500ML Aroma Diffuser Atomizer Air Humidifier LED Ultrasonic Purifier Lonizer","eBay item number:171300609337


	Seller assumes all responsibility for this listing.
	
		Last updated on
		&nbsp;May 03, 2015 21:41:03 PDT&nbsp;
		View all revisions
		
	

		
			
					<strong>Item specifics</strong>
					<table>
						
						<tr>
									<td>
									 			Condition:</td>
											 
											<td>
												
																	
															
															
															
																New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is 
																
																			applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.
																					See all condition definitions<strong>- opens in a new window or tab</strong>
																			
																		
																		
																		
																			... Read more<strong>about the condition</strong>	
																		
																	
															
														
													</td>
										<td>
									 			Country of Manufacture: </td>
											 
											<td>
												China</td>
										</tr>
							<tr>
									<td>
									 			Product Dimensions: </td>
											 
											<td>
												4.8 x 5.1 x 6.6 inches ; 15.8 ounces</td>
										<td>
									 			SKU: </td>
											 
											<td>
												12800417001U</td>
										</tr>
							<tr>
									<td>
									 			Shipping Weight: </td>
											 
											<td>
												1 pounds</td>
										</tr>
							
							</table>
						
					
			
	
					
						
								<em></em>
							
						
							
								
									<strong>Signswise</strong>
									
         emma2013dw
        
	            (6909
	                    )
            
99.8%
											 
										
											
											Sign up for newsletter",4,0
548,"zippo","New Zippo Logo Black Matte Classic Windproof Lighter 218ZL","",4,1.166
551,"face cream","Olay Regenerist Night Recovery Cream 1.7-ounce Sealed/ Unboxed (Pack of 4)","Smooth over cleansed face and neck every evening. Avoid direct contact with eyes. If contact occurs rinse with water.",4,0
552,"polaroid camera","Vintage Polaroid SX-70 Land Camera Brown Leather Made In USA","",4,0.471
556,"electric griddle","Hamilton Beach Premier Cookware Electric Griddle","Cook delicious meals with ease using the Hamilton Beach Premier Cookware Electric Griddle. It is ideal for family gatherings, parties, church functions and more. The griddle has a number of improved features that make it simple to use and easy to maintain. It has a large, 220 square-inch cooking surface so you can prepare several items at a time. This surface is coated with non-stick material to keep your food from adhering. It also means less time scrubbing when you are finished. The Hamilton Beach electric griddle has a strong, durable construction with a die-cast pan and cooking handles. It also has a brushed stainless steel base, and a removable, stainless back splash. Use the non-stick electric griddle to fry bacon and eggs or grill tasty sandwiches. You can adjust the heat from a low of 200 up to 400 degrees.
It even has a warming tray to keep the food nice and hot before it is served. Get the Hamilton Beach Premier Cookware Electric Griddle and enjoy tasty treats with your family and friends.",4,0
558,"bike lock","S 1 Spiral Cable Lock","Complete with a coiled design, this cable lock is a great, affordable way to keep your bicycle safe. With its integrated key cable lock and a dust cap to prevent dirt from clogging the lock, this is an essential accessory for any cyclist.",4,0.471
563,"fuji bike shirt","Spiderwire Fishing Guide Shirt","The Spiderwire Fishing Guide Shirt has two chest pockets and a vented back.


Spiderwire Fishing Guide Shirt:

    100 percent polyester
    2 chest pockets
    Vented back
    Quick dry",1,0
564,"toaster oven","Cuisinart Custom Classic Toaster Oven/Broiler TOB-40","Cuisinart Custom Classic Toaster Oven/Broiler. The classic toaster oven/broiler. Perfect for the traditionalist who wants simplicity and ease of use. 1800 Watts of Power. 5 functions include Toast, Bagel, Bake, Broil and Warm. Always even shade control. Exact Heat Sensor Technology. Front Removable crumb tray. Easy clean interior. Fits 11"" Pizza. Baking rack and pan included.",4,0.471
567,"portable hard drive","Seagate Backup Plus Portable STDR2000101 2 TB External Hard Drive","Mini Portable Bluetooth Speaker",4,0.49
573,"ps3 memory card","SanDisk - flash memory card - 16 GB - SDHC","SanDisk Standard SD cards give you plenty of room to capture and store all your precious photos, safely and securely. Fast, and built to last, you can count on SanDisk Standard SD cards to be ready when you are, every day.",2,0.471
574,"toddler sandals","Disney Frozen Toddler Girl's Beach Flip-flop Sandal","",4,0.8
577,"single serve coffee maker","Keurig VUE V700 Single Serve Coffee Maker Brewer Kuerig","",4,0
578,"laptop lenovo","Lenovo ThinkPad T420 Intel Core i5 2.5GHz 750GB 14-inch Laptop Computer (Refurbished)","This Lenovo ThinkPad T420 Laptop comes with Intel Core i5-520M 2.5GHz processor, 4096MB DDR3 memory, 750GB hard drive, 14-inch WXGA display, Wi-Fi, DVD-RW optical drive, and Microsoft Windows 7 Professional (64-bit) operating system.",4,0
581,"pyrex","Amber Beaded 20-inch Serving Tray","Ideal for formal entertaining or everyday use, this amber beaded serving tray is as beautiful as it is durable, featuring a mirror polished finish with each handle artistically adorned with amber and silver sculpted beads. Handcrafted by skilled artisans of food-safe cast aluminum, this substantial tray weighs four pounds and can hold a 12-inch Pyrex dish. 

Colors/finish: Silver with amber glass beads
Materials: Aluminum, glass
Quantity: One (1)
Setting: Indoor
Dimensions: 20 inches x 12 inches x 3 inch
Solid, food-safe aluminum
Large mirror polished surface
Amber glass beads design
To clean, simply hand wash with hot soapy water and towel dry; no polishing necessary",1,0.471
584,"rachel ray cookware","Rachael Ray Hard Anodized Twin Pack Skillets","Whip up a tasty meal quickly and easily with the Rachael Ray hard anodized skillet. The twin pack has 2 skillets with non-slip riveted handles for a comfortable and secure grip. These bright orange phenolic handles stay cool to the touch. Made of hard-anodized aluminum, these skillets resist scratches and evenly distribute heat. They're ideal for cooking omelets, pancakes, fish and poultry. Microwave oven safe up to 400° F.",4,0.471
587,"macbook case 13 case","Case Logic Black Foam Case for 13 & 15"" MacBook Pro/13""-14"" Laptop""","",4,0.471
588,"adidas fragance","Men's Adidas Team Force by Adidas Eau de Toilette Spray - 3.4 oz","This was launched by the design house of Adidas in the year 2000.The nose behind this fragrance is Quest.Top notes are aldehydes, orange, pineapple, mandarin orange and grapefruit;middle notes are juniper and jasmine.Base notes aresandalwood, amber, musk, cedar and tobacco.This fragrance is classified as Masculine.",3,1.095
592,"adidas pants","George Men's Half Elastic Twill Pants","These George men's half elastic twill pants are a great choice for work and casual outings. Easy to pair with a button up shirt and sweater, you can easily make the most of this pair. Practical and comfortable these pants are a classic staple in any guy's closet.


George Men's Half Elastic Twill Pants:

    60% cotton, 40% polyester
    2 front slash pockets
    2 back pockets with button closure
    Belt loops
    Button and zipper closure
    Elastic waistband on back only
    Machine wash cold",2,0.49
596,"patio umbrellas","Multi-Purpose Patio Umbrella Stand and Side Table","This Multi-Purpose Patio Umbrella Stand and Side Table makes a perfect accent addition to your outdoor living space. Enjoy the functionality of both a durable side table and a patio stand with this unique patio item.",3,1.356
603,"candle chandelier","Beautiful Crystals Candle Holder Chandelier, Light Fixture, Home Decor Wedding","",4,0
605,"bluesky gel nail polish","GEL II 0.47floz Reaction REMIX Color Changing Nail Mood Polish, BLUE GREEN ALOHA BAY BAY","Say hello to new Gel II Reaction Remix nail polish! This temperature activated Gel polish changes color right before your very eyes! These gorgeous glossy pigments last for weeks on end! Have the best of both worlds with bold vibrant polish in cold temperatures and softer warmer tints in the heat. Apply two coats of Gel II reaction, a top coat for shine cure for only 60 seconds and watch your polish transform right before your eyes! And when you are ready for a new look, Gell II polish comes off in just 10 minutes.

    0.5.fl oz Bottle
    2 Coat Easy To Apply
    Soak off in 10 Minutes
    Long Lasting Color
    Temperature Activation",3,1.095
607,"yellow dress","boohoo Hayley Halterneck Maxi Dress - yellow","95% Viscose, 5% Elastane. Flat Measurement Not Worn: Total Length 144cm/56.5"", Bust 36cm/14"", Waist 31cm/12"", Hip 43cm/17"" (Measured on Size 10). Machine Washable. Model Wears Size 10.",4,0.471
611,"bedspreads","Belle Maison Bryce Chenille Bedspread","This Bryce Chenille Bedspread is made from a 100 percent polyester fabric in a lovely print design that enhances the appearance of your bedroom. It is designed as a reversible throw spread with two color options - one side a darker color and the other a lighter color. It can be combined with the Bryce shams in matching colors (sold separately) for a truly sophisticated look.",4,0
613,"vanilla scented perfumes","Animale Men's 3-piece Gift Set","Fragrance was launched by the design house of Animale Parfums in 1993
Animale men's fragrance is a masculine scent
Men's scent possesses a blend of citrus with accents of greens, flowers, sandalwood, cedar, and vanilla musk undertones
Recommended for daytime wear
Set Includes:
3.3-ounce eau de toilette spray
3.4-ounce aftershave balm
3.4-ounce body wash

We cannot accept returns on this product.

Due to manufacturer packaging changes, product packaging may vary from image shown.
Dimensions:
8 in. x 11 in. x 3 in.
Materials:
Perfume
Model No:
149038
Brand: Animale Parfums",2,0.894
622,"ipad 2 heavy duty case","Griffin Survivor Hybrid Case for iPad Mini - Black (GB35918-2)","Ridiculously over-engineered? Or the perfect case for your iPad no matter where youre headed? We think its a little bit of both. Simply put, the Griffin Survivor Case is the most protective case weve ever built. Designed and tested to meet or exceed US Department of Defense Standard 810F, Griffins Survivor Extreme-Duty Case is designed from the inside out to protect your iPad from extreme conditions dirt, sand, rain, shock, vibration, and a host of other environmental factors. Survivor is built on a shatter-resistant polycarbonate frame clad in rugged, shock absorbing silicone. A built-in screen protector seals your Multi-Touch display from the outside environment, while hinged plugs seal the dock connector, headphone port, hold switch, camera, and volume controls. Survivor is independently tested to meet or exceed environmental testing standards for blown rain, blown dust and grit, vibration, shock, temperature and humidity.",1,0.943
623,"kitchenaid glass bowl","KitchenAid Artisan 5-Quart Stand Mixer + Mail-In Rebate Crystal Blue","The KitchenAid Artisan 5-qt crystal blue stand mixer is perfect for making big batches of your family's favorite cookies. It mixes and kneads bread in a flash, too, so you can fill the house with the welcoming aroma of baking. Perfect whipped cream and meringue are quick and easy. The 10 mixing speeds give you the right speed for every cooking job, and the 2-pc. pouring chute avoids mess and bother.
The 5-qt crystal blue stand mixer is the best tool for a serious cook. It's sturdy and reliable, with a tough 325 watt motor, a 5-qt bowl with ergonomic handle and a 2-pc. pouring shield. With this mixer's tilt-back mixer head design, bowl and beaters are easy to access. The all metal construction means you'll get years of quiet, dependable service. It saves time on your toughest mixing chores, and saves you money on the delicious homemade foods your family deserves.",2,0
625,"snow boots","Rck Bella Rossi-2 Infant Baby Girl's Stylish Snow Boots","Give your little one some extra style with these cute short snow boots. The soft faux suede upper, round toe, fully fur lined interior, light rubber outsole make these boots flexible, comfortable and great for all-day wear.",4,0.433
626,"dc shoes black","Women's DC Shoes Trase TX SE Black","Introducing the Trase TX SE, it has a low profile silhouette and clean upper design, this will surely be a classic. Features include a canvas upper for breathability & lightweight feel, metal eyelets and printed DC logo. The new original. This low-top skate shoe has metal eyelets, vulcanized construction and an abrasion-resistant sticky rubber outsole featuring DC's trademarked Pill Pattern tread.",4,0
631,"outdoor table cover","Clemson Tigers Rectangle Patio Set Table Cover","",4,0.471
632,"keurig coffee maker","Mind Reader 3-drawer K-cup Coffee Holder","Perfect for your home of office, this three-drawer K-cup holder from Mindreader allows you to keep your K-cups organized. Each drawer holds 12 K-cups.",1,0.943
633,"ps2 controller usb","Insten 4 in 1 AV Audio Video Component Cable Cord+PS2 Controller Adapter For Sony PS3","",1,0.471
635,"rice cooker","Rice Cooker Size: 3 Cup","No more watching the pot? It's the fastest and simplest way to cook and keep rice warm until you are ready to serve. With the heavy-duty tempered glass lid, you can see the cooking process while the nonstick, removable cooking bowl makes cleanup a breeze. Features: -Tempered glass lid. -Cool touch handles. -Cook and warm indicator lights. -Keep warm cycle. Dimensions: -6"" H x 7"" W x 7"" D, 5 lbs.",4,0
636,"cuisinart coffee maker","Cuisinart Brew Central 12-Cup Programmable Thermal Coffeemaker - DCC-1100BK","A robust combination of flexibility, user-friendliness, and durability makes the Cuisinart DCC-1100BK ideal for the serious coffee drinker. Showing off a traditional design complete with stainless steel accents, this Cuisinart coffee and espresso maker flaunts an ergonomically crafted handle and ideal size that makes it easy to port from the kitchen to the home office. However, the Cuisinart DCC-1100BK is not just attractive—it’s sophisticated. This 12-cup coffee and espresso maker is fully automatic and 24-hour programmable, which enables it to cater to the connoisseur who loves to awake to that freshly brewed aroma every morning. The programmability of the 12-cup coffee and espresso maker also has an option for 1 to 4 cups to accommodate smaller brews, and a built-in pause feature that comes in handy for picking up where the brewing process left off. Furthermore, this Cuisinart coffee and espresso maker includes a charcoal water filter and gold-tone filter, both of which contribute to brews that are fresh, rich, and delicious. The Cuisinart DCC-1100BK would make a great addition to the daily regime of any coffee lover.",4,0.471
647,"face cream","Motives Color Perfection Quads","An all-in-one quad to contour, highlight and conceal. The mineral-rich formula contains vitamins and oils to moisturize and condition skin throughout the day, making it ideal for all skin types.",3,0.471
653,"light bulb","Wintergreen Lighting Christmas LED Light Bulb (Pack of 25)","WTGR1011",2,0.748
657,"dress shirts","Haggar H26 Men's Dress Shirt White","",4,0
662,"coffee for nespresso","Spresso Luxe Nespresso Compatible Capsules - Brazil Lungo Forte - 40 Count","The Spresso Luxe Dark Roast Coffee Capsules are best enjoyed as a double espresso shot. Hand-selected Arabica beans from South America and Africa, combined with choice quality Indian Robusta beans result in full-bodied intensity and a lasting rich flavor.",3,0.471
663,"zippo hand warmer","Zippo Hand Warmer High Polish Chrome 40306","Enjoy the great outdoors even when it's cold outside. It's sleek, thin design easily fits into pockets, is virtually odorless (great for hunters) and stays warm up to 12 hours. Includes convenient filler cup and warming bag. Does not include fuel. Color: High Polish Chrome.",4,0.8
664,"road bicycle","Fix-D 700C Aluminum Frame Road Bike - Black/Red (28)""","Make your urban commute hip and trendy with this fixed gear bicycle - the oldest and simplest type of single speed bike made popular by bike messengers on city streets. You cannot coast on a fixed-gear machine, however, the beauty of this model is that the rear wheel can be flipped to create a non-fixed gear bike. The hand brake and coasting rear hub complete the traditional ride experience. Bold and vivid colors will set you apart from the crowd. Lifetime warranty on frame and fork. Adult assembly required.",4,0.471
665,"zippo","Zippo Black Matte Lighter,  Item 218, New In Box","",4,0.471
672,"hollister polo","Hollister 2 Piece Mini Drain Pouch, Beige 1 3/ 4","Hollister CenterPointLock™ Two-Piece Drainable Pouch with Clamp Closure 1-3/4"" Flange, 9"" L, Mini, Beige, with Belt Tabs, without Integrated Filter and ComfortWear Panels

Hollister CenterPointLock™ Drainable Mini-Pouch is a discreet pouch with the patented CenterPointLock™ an exclusive feature that assures a secure attachment of the pouch to the skin barrier. It prevents unintentional separation of the pouch from the skin barrier. The pouch is made of the highest quality materials.

Confidence and Security with the unique CenterPointLock™ feature Prevents unintentional pouch - skin barrier separation.
Confidence and Comfort by using superior pouch materials; odor-barrier rustle-free film is soft and silent.
Peace of mind knowing that the pouch is discreet and is made of the highest quality materials.
Plastic Belt Tabs permit easy attachment of a belt to the pouch for additional security.",1,0
673,"bluetooth speaker","JBL Clip Portable Bluetooth Speaker - Assorted Colors","",4,0
674,"toddler sandals","Teva Women's 'Tevasphere Trail Event' Man-Made Athletic Shoe","Teva footwear specializes in state-of-the-art sandals for men, women, boys, girls, toddlers, and infants. In the spirit of all the shoes it makes, Teva (the name, pronounced teh-vah, is the Hebrew word for nature) devotes itself not only toward producing the most technologically advanced shoes that help the people who wear them enjoy the natural world, but also to the protection of the globe's waterways.

The first Teva's were developed and made by Grand Canyon river guide Mark Thatcher, whose goal was to provide his friends and fellow boaters with shoes that provided the support and stability, ease of movement, and quick drying capabilities that great river shoes required. His sport sandal designs were so successful that demand quickly outgrew his ability to produce them.

Color options: Black
Width: Medium
Style: Athletic
Material: Man-made upper and man-made outsole
Heel height/type: 1-inch
Sole: Man-made
Gender: Women
Measurement taken from size: 9
Imported

Measurement Guide
Women's Shoe Sizing Guide

Man-made/man-made material
Model : Tevasphere Trail Event",1,0
676,"micro usb to hdmi","Insten Micro USB to HDMI MHL Adapter + AC Charger + 3FT Cable For Samsung Galaxy S III / S IV i9500 / SV S5 / Note III","MiMicro USB to HDMI MHL Adapter, 11 pin x 1
    Universal USB Travel Charger Adapter x 1
    Micro USB Noodle Cable x 1",4,0.471
678,"shotgun shell pouch","Specter Gear Buttstock Shell Pouch Kit Only for Specter Shotgun Slings, No Rear","",4,0.471
687,"macbook case 13 case","Insten Purple Rubberized Hard Shell Clip-on Case Cover For Apple MacBook Air 13 Inches new""","",4,0.471
688,"duffle bag","Izod Large Duffel Bag Blue","This large duffel bag is ideal for a gym bag or overnight travel bag. The shoulder strap is long enough to be comfortable, and the carrying straps are convenient as well.",4,0.471
689,"light bulb","Premiertek LED-7W3200 LED Light Bulb","E27 Frosted Warm White Led Bulbaccs7Watt 3200K 20000Hr Life",4,0
691,"cuisinart coffee maker","Cuisinart DCC-1150BKFR 10-Cup Programmable Thermal Coffee Maker (Refurbished)","With a 24-hour programmable coffee maker, your coffee will be ready for you as soon as you wake up. This Cuisinart coffee maker can brew up to 10 cups of coffee and even filters the water.",4,0
